GeoName,Description,years,value_x,value_y,difference
Indiana,All items,2010,91.4,100.0,-8.599999999999994
Iowa,All items,2010,89.2,100.0,-10.799999999999997
Kansas,All items,2010,89.9,100.0,-10.099999999999994
Kentucky,All items,2010,88.6,100.0,-11.400000000000006
Louisiana,All items,2010,91.2,100.0,-8.799999999999997
Maine,All items,2010,96.8,100.0,-3.200000000000003
Maryland,All items,2010,111.0,100.0,11.0
Massachusetts,All items,2010,108.0,100.0,8.0
Michigan,All items,2010,94.7,100.0,-5.299999999999997
Minnesota,All items,2010,97.1,100.0,-2.9000000000000057
Mississippi,All items,2010,86.7,100.0,-13.299999999999997
Missouri,All items,2010,88.3,100.0,-11.700000000000003
Montana,All items,2010,93.9,100.0,-6.099999999999994
Nebraska,All items,2010,90.3,100.0,-9.700000000000003
Nevada,All items,2010,99.9,100.0,-0.09999999999999432
New Hampshire,All items,2010,106.5,100.0,6.5
New Jersey,All items,2010,114.1,100.0,14.099999999999993
New Mexico,All items,2010,94.6,100.0,-5.400000000000006
New York,All items,2010,115.2,100.0,15.200000000000003
North Carolina,All items,2010,91.3,100.0,-8.700000000000003
North Dakota,All items,2010,89.2,100.0,-10.799999999999997
Ohio,All items,2010,89.8,100.0,-10.200000000000003
Oklahoma,All items,2010,89.6,100.0,-10.400000000000006
Oregon,All items,2010,98.5,100.0,-1.5
Pennsylvania,All items,2010,98.5,100.0,-1.5
Rhode Island,All items,2010,99.1,100.0,-0.9000000000000057
South Carolina,All items,2010,90.4,100.0,-9.599999999999994
South Dakota,All items,2010,86.9,100.0,-13.099999999999994
Tennessee,All items,2010,90.2,100.0,-9.799999999999997
Texas,All items,2010,96.3,100.0,-3.7000000000000024
Utah,All items,2010,96.9,100.0,-3.0999999999999943
Vermont,All items,2010,99.5,100.0,-0.5
Virginia,All items,2010,103.1,100.0,3.0999999999999943
Washington,All items,2010,103.0,100.0,3.0
West Virginia,All items,2010,88.4,100.0,-11.599999999999994
Wisconsin,All items,2010,92.8,100.0,-7.200000000000002
Wyoming,All items,2010,95.9,100.0,-4.099999999999994
United States,Goods,2010,99.4,99.4,0.0
Alabama,Goods,2010,96.6,99.4,-2.8169014084507156
Alaska,Goods,2010,102.5,99.4,3.118712273641845
Arizona,Goods,2010,100.6,99.4,1.207243460764576
Arkansas,Goods,2010,95.7,99.4,-3.7223340040241477
California,Goods,2010,103.0,99.4,3.6217303822937565
Colorado,Goods,2010,101.9,99.4,2.515090543259557
Connecticut,Goods,2010,105.0,99.4,5.633802816901403
Delaware,Goods,2010,102.4,99.4,3.0181086519114686
District of Columbia,Goods,2010,107.1,99.4,7.7464788732394245
Florida,Goods,2010,98.3,99.4,-1.1066398390342136
Georgia,Goods,2010,97.2,99.4,-2.213279678068413
Hawaii,Goods,2010,107.1,99.4,7.7464788732394245
Idaho,Goods,2010,98.7,99.4,-0.7042253521126789
Illinois,Goods,2010,101.6,99.4,2.2132796780683988
Indiana,Goods,2010,96.5,99.4,-2.917505030181092
Iowa,Goods,2010,93.7,99.4,-5.734406438631794
Kansas,Goods,2010,94.7,99.4,-4.72837022132797
Kentucky,Goods,2010,95.3,99.4,-4.124748490945683
Louisiana,Goods,2010,96.8,99.4,-2.615694164989948
